"testdat.Cust_id","Active_Customer"
"F25767",-1
"F25768",-1
"F25769",-1
"F25770",-1
"F25771",-1
"F25772",-1
"F25773",-1
"F25774",-1
"F25775",-1
"F25776",-1
"F25777",-1
"F25778",-1
"F25779",-1
"F25780",-1
"F25781",-1
"F25782",-1
"F25783",-1
"F25784",-1
"F25785",-1
"F25786",-1
"F25787",-1
"F25788",-1
"F25789",-1
"F25790",-1
"F25791",-1
"F25792",-1
"F25793",-1
"F25794",-1
"F25795",-1
"F25796",-1
"F25797",-1
"F25798",-1
"F25799",-1
"F25800",-1
"F25801",-1
"F25802",-1
"F25803",-1
"F25804",-1
"F25805",-1
"F25806",-1
"F25807",-1
"F25808",-1
"F25809",-1
"F25810",-1
"F25811",-1
"F25812",-1
"F25813",-1
"F25814",-1
"F25815",-1
"F25816",-1
"F25817",-1
"F25818",-1
"F25819",-1
"F25820",-1
"F25821",-1
"F25822",-1
"F25823",-1
"F25824",-1
"F25825",-1
"F25826",-1
"F25827",-1
"F25828",-1
"F25829",-1
"F25830",-1
"F25831",-1
"F25832",-1
"F25833",-1
"F25834",-1
"F25835",-1
"F25836",-1
"F25837",-1
"F25838",-1
"F25839",-1
"F25840",-1
"F25841",-1
"F25842",-1
"F25843",-1
"F25844",-1
"F25845",-1
"F25846",-1
"F25847",-1
"F25848",-1
"F25849",-1
"F25850",-1
"F25851",-1
"F25852",-1
"F25853",-1
"F25854",-1
"F25855",-1
"F25856",-1
"F25857",-1
"F25858",-1
"F25859",-1
"F25860",-1
"F25861",-1
"F25862",-1
"F25863",-1
"F25864",-1
"F25865",-1
"F25866",-1
"F25867",-1
"F25868",-1
"F25869",-1
"F25870",-1
"F25871",-1
"F25872",-1
"F25873",-1
"F25874",-1
"F25875",-1
"F25876",-1
"F25877",-1
"F25878",-1
"F25879",-1
"F25880",-1
"F25881",-1
"F25882",-1
"F25883",-1
"F25884",-1
"F25885",-1
"F25886",-1
"F25887",-1
"F25888",-1
"F25889",-1
"F25890",-1
"F25891",-1
"F25892",-1
"F25893",-1
"F25894",-1
"F25895",-1
"F25896",-1
"F25897",-1
"F25898",-1
"F25899",-1
"F25900",-1
"F25901",-1
"F25902",-1
"F25903",-1
"F25904",-1
"F25905",-1
"F25906",-1
"F25907",-1
"F25908",-1
"F25909",-1
"F25910",-1
"F25911",-1
"F25912",-1
"F25913",-1
"F25914",-1
"F25915",-1
"F25916",-1
"F25917",-1
"F25918",-1
"F25919",-1
"F25920",-1
"F25921",-1
"F25922",-1
"F25923",-1
"F25924",-1
"F25925",-1
"F25926",-1
"F25927",-1
"F25928",-1
"F25929",-1
"F25930",-1
"F25931",-1
"F25932",-1
"F25933",-1
"F25934",-1
"F25935",-1
"F25936",-1
"F25937",-1
"F25938",-1
"F25939",-1
"F25940",-1
"F25941",-1
"F25942",-1
"F25943",-1
"F25944",-1
"F25945",-1
"F25946",-1
"F25947",-1
"F25948",-1
"F25949",-1
"F25950",-1
"F25951",-1
"F25952",-1
"F25953",-1
"F25954",-1
"F25955",-1
"F25956",-1
"F25957",-1
"F25958",-1
"F25959",-1
"F25960",-1
"F25961",-1
"F25962",-1
"F25963",-1
"F25964",-1
"F25965",-1
"F25966",-1
"F25967",-1
"F25968",-1
"F25969",-1
"F25970",-1
"F25971",-1
"F25972",-1
"F25973",-1
"F25974",-1
"F25975",-1
"F25976",-1
"F25977",-1
"F25978",-1
"F25979",-1
"F25980",-1
"F25981",-1
"F25982",-1
"F25983",-1
"F25984",-1
"F25985",-1
"F25986",-1
"F25987",-1
"F25988",-1
"F25989",-1
"F25990",-1
"F25991",-1
"F25992",-1
"F25993",-1
"F25994",-1
"F25995",-1
"F25996",-1
"F25997",-1
"F25998",-1
"F25999",-1
"F26000",-1
"F26001",-1
"F26002",-1
"F26003",-1
"F26004",-1
"F26005",-1
"F26006",-1
"F26007",-1
"F26008",-1
"F26009",-1
"F26010",-1
"F26011",-1
"F26012",-1
"F26013",-1
"F26014",-1
"F26015",-1
"F26016",-1
"F26017",-1
"F26018",-1
"F26019",-1
"F26020",-1
"F26021",-1
"F26022",-1
"F26023",-1
"F26024",-1
"F26025",-1
"F26026",-1
"F26027",-1
"F26028",-1
"F26029",-1
"F26030",-1
"F26031",-1
"F26032",-1
"F26033",-1
"F26034",-1
"F26035",-1
"F26036",-1
"F26037",-1
"F26038",-1
"F26039",-1
"F26040",-1
"F26041",-1
"F26042",-1
"F26043",-1
"F26044",-1
"F26045",-1
"F26046",-1
"F26047",-1
"F26048",-1
"F26049",-1
"F26050",-1
"F26051",-1
"F26052",-1
"F26053",-1
"F26054",-1
"F26055",-1
"F26056",-1
"F26057",-1
"F26058",-1
"F26059",-1
"F26060",-1
"F26061",-1
"F26062",-1
"F26063",-1
"F26064",-1
"F26065",-1
"F26066",-1
"F26067",-1
"F26068",-1
"F26069",-1
"F26070",-1
"F26071",-1
"F26072",-1
"F26073",-1
"F26074",-1
"F26075",-1
"F26076",-1
"F26077",-1
"F26078",-1
"F26079",-1
"F26080",-1
"F26081",-1
"F26082",-1
"F26083",-1
"F26084",-1
"F26085",-1
"F26086",-1
"F26087",-1
"F26088",-1
"F26089",-1
"F26090",-1
"F26091",-1
"F26092",-1
"F26093",-1
"F26094",-1
"F26095",-1
"F26096",-1
"F26097",-1
"F26098",-1
"F26099",-1
"F26100",-1
"F26101",-1
"F26102",-1
"F26103",-1
"F26104",-1
"F26105",-1
"F26106",-1
"F26107",-1
"F26108",-1
"F26109",-1
"F26110",-1
"F26111",-1
"F26112",-1
"F26113",-1
"F26114",-1
"F26115",-1
"F26116",-1
"F26117",-1
"F26118",-1
"F26119",-1
"F26120",-1
"F26121",-1
"F26122",-1
"F26123",-1
"F26124",-1
"F26125",-1
"F26126",-1
"F26127",-1
"F26128",-1
"F26129",-1
"F26130",-1
"F26131",-1
"F26132",-1
"F26133",-1
"F26134",-1
"F26135",-1
"F26136",-1
"F26137",-1
"F26138",-1
"F26139",-1
"F26140",-1
"F26141",-1
"F26142",-1
"F26143",-1
"F26144",-1
"F26145",-1
"F26146",-1
"F26147",-1
"F26148",-1
"F26149",-1
"F26150",-1
"F26151",-1
"F26152",-1
"F26153",-1
"F26154",-1
"F26155",-1
"F26156",-1
"F26157",-1
"F26158",-1
"F26159",-1
"F26160",-1
"F26161",-1
"F26162",-1
"F26163",-1
"F26164",-1
"F26165",-1
"F26166",-1
"F26167",-1
"F26168",-1
"F26169",-1
"F26170",-1
"F26171",-1
"F26172",-1
"F26173",-1
"F26174",-1
"F26175",-1
"F26176",-1
"F26177",-1
"F26178",-1
"F26179",-1
"F26180",-1
"F26181",-1
"F26182",-1
"F26183",-1
"F26184",-1
"F26185",-1
"F26186",-1
"F26187",-1
"F26188",-1
"F26189",-1
"F26190",-1
"F26191",-1
"F26192",-1
"F26193",-1
"F26194",-1
"F26195",-1
"F26196",-1
"F26197",-1
"F26198",-1
"F26199",-1
"F26200",-1
"F26201",-1
"F26202",-1
"F26203",-1
"F26204",-1
"F26205",-1
"F26206",-1
"F26207",-1
"F26208",-1
"F26209",-1
"F26210",-1
"F26211",-1
"F26212",-1
"F26213",-1
"F26214",-1
"F26215",-1
"F26216",-1
"F26217",-1
"F26218",-1
"F26219",-1
"F26220",-1
"F26221",-1
"F26222",-1
"F26223",-1
"F26224",-1
"F26225",-1
"F26226",-1
