"Cust_id","Active_Customer","NA"
"F25767",1,0.51600706577301
"F25768",0,0.509173631668091
"F25769",0,0.487614840269089
"F25770",0,0.495079666376114
"F25771",0,0.47561314702034
"F25772",0,0.474908351898193
"F25773",0,0.471587717533112
"F25774",0,0.480699151754379
"F25775",0,0.47412434220314
"F25776",0,0.487614840269089
"F25777",0,0.493652641773224
"F25778",1,0.51600706577301
"F25779",0,0.482338964939117
"F25780",0,0.496130436658859
"F25781",0,0.501555025577545
"F25782",1,0.543753921985626
"F25783",0,0.472133755683899
"F25784",0,0.472755372524261
"F25785",0,0.506024360656738
"F25786",0,0.47412434220314
"F25787",0,0.484129905700684
"F25788",1,0.51600706577301
"F25789",0,0.505003392696381
"F25790",0,0.493098646402359
"F25791",0,0.514339029788971
"F25792",1,0.533480286598206
"F25793",1,0.515968024730682
"F25794",0,0.494259566068649
"F25795",0,0.495631992816925
"F25796",0,0.506024360656738
"F25797",1,0.51600706577301
"F25798",0,0.514339029788971
"F25799",1,0.541571974754333
"F25800",1,0.51600706577301
"F25801",0,0.511107861995697
"F25802",0,0.482261180877686
"F25803",0,0.488763451576233
"F25804",0,0.470444351434708
"F25805",0,0.474483102560043
"F25806",0,0.472755372524261
"F25807",1,0.51600706577301
"F25808",1,0.532596051692963
"F25809",0,0.475547462701797
"F25810",1,0.543753921985626
"F25811",1,0.51600706577301
"F25812",0,0.496246248483658
"F25813",1,0.51523631811142
"F25814",0,0.484129905700684
"F25815",0,0.495079666376114
"F25816",0,0.506416380405426
"F25817",0,0.493370801210403
"F25818",1,0.51600706577301
"F25819",0,0.496068626642227
"F25820",0,0.471076905727386
"F25821",0,0.505519032478333
"F25822",1,0.533480286598206
"F25823",0,0.503142058849335
"F25824",1,0.516590058803558
"F25825",1,0.518167674541473
"F25826",0,0.495079666376114
"F25827",0,0.494607597589493
"F25828",0,0.496068626642227
"F25829",0,0.492149233818054
"F25830",1,0.51600706577301
"F25831",1,0.51600706577301
"F25832",1,0.51600706577301
"F25833",0,0.493370801210403
"F25834",0,0.496504724025726
"F25835",0,0.474908351898193
"F25836",1,0.51600706577301
"F25837",0,0.495079666376114
"F25838",0,0.503453195095062
"F25839",1,0.51600706577301
"F25840",0,0.495079666376114
"F25841",0,0.514173686504364
